ttm,spot,Obsdate,K,iv
0.003968253968253968,0.195,170123,0.19,1.505151490269504
0.003968253968253968,0.195,170123,0.2,1.2031263849234
0.003968253968253968,0.195,170123,0.21,1.3152065958388974
0.003968253968253968,0.195,170123,0.22,1.5062481736787714
0.003968253968253968,0.195,170123,0.23,1.7280851221598874
0.003968253968253968,0.195,170123,0.24,1.8709609773319984
0.003968253968253968,0.195,170123,0.25,2.1591660421022976
0.003968253968253968,0.195,170123,0.26,2.3159382840686424
0.003968253968253968,0.195,170123,0.27,2.5618179584775453
0.003968253968253968,0.195,170123,0.28,2.533538718848015
0.003968253968253968,0.195,170123,0.29,2.9367447756888287
0.003968253968253968,0.195,170123,0.3,3.048866790627908
0.011904761904761904,0.2052,200123,0.19,0.9626169975072019
0.011904761904761904,0.2052,200123,0.2,1.0633060074918588
0.011904761904761904,0.2052,200123,0.21,1.0301541896706832
0.011904761904761904,0.2052,200123,0.22,1.158878634547814
0.011904761904761904,0.2052,200123,0.23,1.2145604528533513
0.011904761904761904,0.2052,200123,0.24,1.2127218171457554
0.011904761904761904,0.2052,200123,0.25,1.3272710708976652
0.011904761904761904,0.2052,200123,0.26,1.3585040061726932
0.011904761904761904,0.2052,200123,0.27,1.5221548784853298
0.011904761904761904,0.2052,200123,0.28,1.71552779225876
0.011904761904761904,0.2052,200123,0.29,1.6746042156004897
0.011904761904761904,0.2052,200123,0.3,1.7413870861246135
0.011904761904761904,0.2052,200123,0.31,1.7843374608994373
0.011904761904761904,0.2052,200123,0.32,2.2162953094170845
0.011904761904761904,0.2052,200123,0.34,2.271881112270467
0.011904761904761904,0.2052,200123,0.35,2.0940345639300197
0.011904761904761904,0.2052,200123,0.36,2.186595460540438
0.011904761904761904,0.2052,200123,0.38,2.362277863820955
0.08333333333333333,0.2052,200123,0.2,1.6459430263918264
0.08333333333333333,0.2052,200123,0.21,1.3829534494949502
0.08333333333333333,0.2052,200123,0.22,1.3389264584635183
0.08333333333333333,0.2052,200123,0.23,1.3275187611395336
0.08333333333333333,0.2052,200123,0.25,1.2780401188872696
0.08333333333333333,0.2052,200123,0.26,1.3060195470042073
0.08333333333333333,0.2052,200123,0.27,1.2829903862048415
0.08333333333333333,0.2052,200123,0.28,1.290698286090814
0.08333333333333333,0.2052,200123,0.3,1.3001901082212286
0.08333333333333333,0.2052,200123,0.35,1.3883000196683912
0.08333333333333333,0.2052,200123,0.4,1.4300457007820415
0.25,0.2052,200123,0.2,0.8308543231047959
0.25,0.2052,200123,0.21,0.8354968941851345
0.25,0.2052,200123,0.23,0.8277568724773262
0.25,0.2052,200123,0.24,0.8442574280500197
0.25,0.2052,200123,0.25,0.8427799820886464
0.25,0.2052,200123,0.26,0.8386065066263882
0.25,0.2052,200123,0.27,0.8483884355294697
0.25,0.2052,200123,0.28,0.8660794049558491
0.25,0.2052,200123,0.29,0.8732533278521735
0.25,0.2052,200123,0.3,0.8873777806034416
0.25,0.2052,200123,0.31,0.9129751675931442
0.25,0.2052,200123,0.32,0.9070389353582393
0.25,0.2052,200123,0.33,0.9231174844988629
0.25,0.2052,200123,0.34,0.9330246960773907
0.25,0.2052,200123,0.35,0.9509597303384809
0.25,0.2052,200123,0.36,0.9853401041736782
0.25,0.2052,200123,0.37,0.9731591204318342
0.25,0.2052,200123,0.38,0.9850644424400289
0.25,0.2052,200123,0.39,1.0076375365116785
0.25,0.2052,200123,0.4,1.0121312839792755
